Date,Open,High,Low,Close,Adj Close,Volume,percentage change
2021-02-22,762.640015,768.500000,710.200012,714.500000,714.500000,37269700,-6.312285488980008
2021-02-23,662.130005,713.609985,619.000000,698.840027,698.840027,66606900,5.544231755514536
2021-02-24,711.849976,745.000000,694.169983,742.020020,742.020020,36767000,4.238258764793451
2021-02-25,726.150024,737.210022,670.580017,682.219971,682.219971,39023900,-6.049721345185832
2021-02-26,700.000000,706.700012,659.510010,675.500000,675.500000,41089200,-3.5000000000000004
2021-03-01,690.109985,719.000000,685.049988,718.429993,718.429993,27136200,4.103694862493536
2021-03-02,718.280029,721.109985,685.000000,686.440002,686.440002,23732200,-4.432815296887499
2021-03-03,687.989990,700.700012,651.710022,653.200012,653.200012,30208000,-5.056756421703173
2021-03-04,655.799988,668.450012,600.000000,621.440002,621.440002,65919500,-5.239400217860317
2021-03-05,626.059998,627.840027,539.489990,597.950012,597.950012,89396500,-4.489982763600868
2021-03-08,600.549988,620.130005,558.789978,563.000000,563.000000,51787000,-6.252599908469232
2021-03-09,608.179993,678.090027,595.210022,673.580017,673.580017,67523300,10.753399446337927
2021-03-10,700.299988,717.849976,655.059998,668.059998,668.059998,60605700,-4.6037399046764
2021-03-11,699.400024,702.500000,677.179993,699.599976,699.599976,36253900,0.028589075370111693
2021-03-12,670.000000,694.880005,666.140015,693.729980,693.729980,33583800,3.541788059701486
2021-03-15,694.090027,713.179993,684.039978,707.940002,707.940002,29335600,1.9954147821230814
2021-03-16,703.349976,707.919983,671.000000,676.880005,676.880005,32195700,-3.7634139337768295
2021-03-17,656.869995,703.729980,651.010010,701.809998,701.809998,40372500,6.841536885849068
2021-03-18,684.289978,689.229980,652.000000,653.159973,653.159973,33224800,-4.549241695894015
2021-03-19,646.599976,657.229980,624.619995,654.869995,654.869995,42894000,1.2790008207485686
2021-03-22,684.590027,699.619995,668.750000,670.000000,670.000000,39512200,-2.1312064775375354
2021-03-23,675.770020,677.799988,657.510010,662.159973,662.159973,30491900,-2.0140057411839623
2021-03-24,667.909973,668.020020,630.109985,630.270020,630.270020,33795200,-5.635483002437514
2021-03-25,613.000000,645.500000,609.500000,640.390015,640.390015,39224900,4.468191680261003
2021-03-26,641.869995,643.820007,599.890015,618.710022,618.710022,33852800,-3.6082030910324816
2021-03-29,615.640015,616.479980,596.020020,611.289978,611.289978,28637000,-0.7065877613559491
2021-03-30,601.750000,637.659973,591.010010,635.619995,635.619995,39432400,5.6285824678022465
2021-03-31,646.619995,672.000000,641.109985,667.929993,667.929993,33337300,3.2955983676316642
2021-04-01,688.369995,692.419983,659.419983,661.750000,661.750000,35298400,-3.8671056544235367
2021-04-05,707.710022,708.159973,684.700012,691.049988,691.049988,41842800,-2.354076314041515
2021-04-06,690.299988,696.549988,681.369995,691.619995,691.619995,28271800,0.19122222554638554
2021-04-07,687.000000,691.380005,667.840027,670.969971,670.969971,26309400,-2.333337554585155
2021-04-08,677.380005,689.549988,671.650024,683.799988,683.799988,23924300,0.9477668299346984
2021-04-09,677.770020,680.969971,669.429993,677.020020,677.020020,21437100,-0.11065700427410465
2021-04-12,685.700012,704.799988,682.090027,701.979980,701.979980,29135700,2.3742114211892327
2021-04-13,712.700012,763.000000,710.659973,762.320007,762.320007,44652800,6.962255389999912
2021-04-14,770.700012,780.789978,728.030029,732.229980,732.229980,49017400,-4.991570183081826
2021-04-15,743.099976,743.690002,721.309998,738.849976,738.849976,27848900,-0.5719284264921037
2021-04-16,728.650024,749.409973,724.599976,739.780029,739.780029,27979500,1.5274829662257696
